codmun;numero_unidades_locais;pessoal_ocupado_total;pessoal_ocupado_assalariado;salarios_e_outras_remuneracoes;salario_medio_mensal;numero_empresas_atuantes
110001;481;2368;1796;19146;1.9;475
110002;1995;16467;13740;157049;2.2;1943
110003;77;375;315;3699;1.9;77
110004;1493;13318;11424;132879;2.2;1446
110005;374;1901;1461;15552;1.9;366
110006;349;2130;1697;19804;2.1;345
110007;108;631;526;5613;2;108
110008;304;1008;781;7711;1.8;296
110009;542;3416;2762;32118;2.2;535
110010;614;3643;3016;33946;2.1;592
110011;1038;8441;7232;79744;2;1011
110012;2493;22234;19163;206891;2;2364
110013;387;2397;1984;22777;2.1;377
110014;206;1414;1109;12693;2.2;206
110015;837;5597;4590;44001;1.8;823
110018;870;6989;5958;59285;1.8;851
110020;8434;139797;130100;2541794;3.8;7960
110025;381;2140;1775;16871;1.9;378
110026;21;331;311;3101;1.9;21
110028;947;9326;8043;74184;1.7;935
110029;122;820;673;6166;1.7;122
110030;2240;16549;13496;165920;2.4;2178
110032;291;1663;1364;14396;2;288
110033;129;1478;1329;15190;2.1;125
110034;393;1626;1240;9817;1.6;387
110037;140;870;685;7012;2;140
110040;269;1395;1140;13125;2.1;269
110045;455;3085;2567;25201;1.8;451
110050;112;684;559;5364;1.8;112
110060;44;385;332;3741;2.1;44
110070;65;588;520;5154;1.9;64
110080;215;1278;1049;12147;2;211
110090;35;299;281;2961;1.8;35
110092;134;1312;1145;13847;2.2;134
110094;338;1761;1324;14946;2.1;336
110100;84;551;466;6229;2.4;84
110110;81;891;812;8426;1.8;80
110120;70;703;596;7154;2.2;69
110130;170;1083;909;9555;2;170
110140;137;1182;989;10267;2;134
110143;131;534;384;3925;2;131
110145;33;331;285;2617;1.7;33
110146;12;150;136;2403;2.3;12
110147;21;277;263;2400;1.6;21
110148;69;282;211;2827;1.9;69
110149;243;1300;1004;10871;1.9;240
110150;143;811;715;6674;1.8;136
110155;42;384;341;3408;1.9;42
110160;48;588;545;7173;2.4;47
110170;151;1061;640;7830;2.4;149
110175;65;568;498;5534;2.2;65
110180;89;589;492;4722;2;89
120001;104;695;588;6692;1.9;104
120005;63;354;303;3432;2.1;63
120010;262;1276;1055;9221;1.5;259
120013;50;416;399;4074;1.7;50
120017;53;524;466;5332;2.3;53
120020;1023;5981;4986;43070;1.7;987
120025;176;1060;894;7865;1.7;176
120030;264;1258;1055;12421;2.2;261
120032;19;178;173;1291;1.4;19
120033;90;438;384;4954;2;90
120034;47;447;412;3674;1.9;47
120035;20;853;841;8619;1.8;19
120038;159;859;731;9677;2.1;158
120039;25;359;334;2924;1.6;25
120040;5520;83856;78338;1556196;3.7;5246
120042;40;442;429;4383;1.9;40
120043;8;244;238;2525;2;8
120045;152;2036;1921;15212;1.5;152
120050;273;1478;1249;16439;2.5;271
120060;260;1562;1344;13342;1.9;254
120070;169;817;624;5913;1.8;167
120080;91;602;495;5355;2.1;89
130002;33;526;505;4293;1.5;32
130006;15;383;369;3761;2.1;15
130008;36;330;306;2436;1.5;35
130010;57;76;26;214;1.5;57
130014;178;874;731;6789;1.9;176
130020;25;677;656;5851;1.8;24
130030;99;471;394;3523;1.7;98
130040;63;833;784;6592;1.6;62
130050;65;821;762;6532;1.6;63
130060;101;833;734;7588;2.2;101
130063;62;98;49;388;1.5;62
130068;77;380;325;2296;1.3;77
130070;317;1573;1263;10953;1.6;310
130080;83;1585;1510;12627;1.6;81
130083;26;621;609;4466;1.4;25
130090;24;256;241;838;0.7;24
130100;202;988;803;7569;1.8;201
130110;52;1048;988;8535;1.7;50
130115;21;713;691;6280;1.9;21
130120;492;6819;6382;286167;7.9;480
130130;96;835;765;7516;2;94
130140;233;399;174;1945;2.1;228
130150;70;788;725;6256;1.7;70
130160;135;143;17;316;2.8;135
130165;32;519;483;3112;1.2;32
130170;308;2129;1843;18170;1.7;305
130180;46;387;353;3066;1.8;45
130185;155;2843;2697;22550;1.7;154
130190;930;8076;7164;84673;2.2;909
130195;22;419;406;3691;1.9;22
130200;37;384;354;3713;1.6;37
130210;12;357;352;2571;1.4;10
130220;86;613;532;4552;1.7;86
130230;45;584;547;1485;0.5;45
