Regiao;cod_uf;uf;codmun;nomemun;cod_microregiao;nome_microregiao;cod_mesoregiao;nome_mesoregiao;numero_unidades_locais;pessoal_ocupado_total;pessoal_ocupado_assalariado;salarios_e_outras_remuneracoes;salario_medio_mensal;numero_empresas_atuantes
Nordeste;23;CE;230010;Abaiara;23033;Brejo Santo;2307;Sul Cearense;90;737;656;3018;0.9;90
Nordeste;23;CE;230070;Alto Santo;23023;Baixo Jaguaribe;2305;Jaguaribe;212;1142;918;3836;0.8;211
Nordeste;23;CE;230110;Aracati;23022;Litoral de Aracati;2305;Jaguaribe;1210;8314;6984;69498;1.8;1180
Nordeste;23;CE;230170;Aurora;23031;Barro;2307;Sul Cearense;289;2118;1897;9058;0.9;284
Nordeste;23;CE;230180;Baixio;23028;Lavras da Mangabeira;2306;Centro-Sul Cearense;74;457;385;2178;1;72
Nordeste;23;CE;230190;Barbalha;23032;Cariri;2307;Sul Cearense;674;6524;5838;45552;1.6;661
Nordeste;23;CE;230200;Barro;23031;Barro;2307;Sul Cearense;131;1356;1243;8219;1.3;130
Nordeste;23;CE;230250;Brejo Santo;23033;Brejo Santo;2307;Sul Cearense;620;3171;2439;18269;1.3;603
Nordeste;23;CE;230320;Cariria˛u;23030;Cariria˛u;2307;Sul Cearense;264;1342;1134;9492;1.3;264
Nordeste;23;CE;230380;Cedro;23026;Iguatu;2306;Centro-Sul Cearense;401;1687;1247;9931;1.7;399
Nordeste;23;CE;230420;Crato;23032;Cariri;2307;Sul Cearense;2205;16507;14208;137302;1.9;2140
Nordeste;23;CE;230427;Erer€;23025;Serra do Pereiro;2305;Jaguaribe;39;609;576;3111;1;39
Nordeste;23;CE;230480;Granjeiro;23030;Cariria˛u;2307;Sul Cearense;45;195;174;1098;1.2;45
Nordeste;23;CE;230535;Icapu›;23022;Litoral de Aracati;2305;Jaguaribe;453;2312;1967;18211;1.8;453
Nordeste;23;CE;230540;Icæ;23026;Iguatu;2306;Centro-Sul Cearense;827;5074;4063;29195;1.5;809
Nordeste;23;CE;230570;Ipaumirim;23028;Lavras da Mangabeira;2306;Centro-Sul Cearense;204;870;673;4845;1.4;201
Nordeste;23;CE;230600;Iracema;23025;Serra do Pereiro;2305;Jaguaribe;270;1225;992;6916;1.3;267
Nordeste;23;CE;230620;Itai˛aba;23022;Litoral de Aracati;2305;Jaguaribe;78;493;420;3125;1.4;78
Nordeste;23;CE;230670;Jaguaretama;23024;M⁄dio Jaguaribe;2305;Jaguaribe;253;1268;1101;6785;1.3;252
Nordeste;23;CE;230680;Jaguaribara;23024;M⁄dio Jaguaribe;2305;Jaguaribe;147;754;611;4929;1.7;147
Nordeste;23;CE;230690;Jaguaribe;23024;M⁄dio Jaguaribe;2305;Jaguaribe;662;2602;1920;18141;1.7;654
Nordeste;23;CE;230700;Jaguaruana;23023;Baixo Jaguaribe;2305;Jaguaribe;344;3058;2708;22428;1.5;341
