Regiao;uf;cod_uf;cod_mun;nome_mun;cod_microregiao;nome_microregiao;cod_mesoregiao;nome_mesoregiao;receitas_orc_realizadas;receitas_orc_realizadas_correntes;receitas_orc_realizadas_tributarias;receitas_orc_realizadas_iptu;receitas_orc_realizadas_iss;receitas_orc_realizadas_itbi;receitas_orc_realizadas_taxas;receitas_orc_realizadas_contribuicao;receitas_orc_realizadas_patrimonial;receitas_orc_realizadas_transf_correntes;receitas_orc_realizadas_transf_int_gov_uniao;receitas_orc_realizadas_transf_int_gov_estados;receitas_orc_realizadas_divida_ativa;receitas_orc_realizadas_outras_rec_correntes;receitas_orc_realizadas_capital;receitas_orc_realizadas_transf_capital;despesas_orc_realizadas;despesas_orc_realizadas_correntes;despesas_orc_realizadas_out_despesas_correntes;despesas_orc_realizadas_capital;despesas_orc_realizadas_investimentos;despesas_orc_realizadas_pessoal;despesas_orc_realizadas_obras_instalacoes;despesas_orc_realizadas_superavit_deficit;valor_fpm;valor_itr;valor_iof_repassado_aos_municipios
Norte;11;RO;110001;Alta Floresta D'Oeste;11006;Cacoal;1102;Leste Rondoniense;27851248.45;30264110.56;1269924.33;100856.11;663730.82;69458.86;128391.53;80279.56;142596.54;28081773.14;13410560.54;8205572.76;192917.65;231216.29;491000;491000;27756015.98;24539997.56;10508763.83;3216018.42;2819789.44;14031233.73;2007223.44;95232.47;8213551.68;33847.86;0
Norte;11;RO;110002;Ariquemes;11003;Ariquemes;1102;Leste Rondoniense;109448516.2;107937029.1;11159834.76;1475116.4;4675924.02;0;1121846.31;2735492.4;2005629.48;87757330.3;31186755.53;29714270.52;866413.8;4278742.14;6715034.06;6147975.1;104413250.9;85650327.53;35109906.11;18762923.36;17353890.64;49532533.08;6415967.44;5035265.29;16427103.42;40841.36;0
Norte;11;RO;110003;Cabixi;11008;Colorado do Oeste;1102;Leste Rondoniense;9859502.24;9914854.09;286967.81;41606.69;131180.32;22542.07;28882.33;14207.41;110212.13;9417453.65;4528646.82;3198603.16;45991.05;52337.09;1101152.83;1101152.83;9341748.95;7355932.83;3244343.65;1985816.12;1774562.19;4111589.18;1008499.95;517753.29;3520093.61;8573.12;0
Norte;11;RO;110004;Cacoal;11006;Cacoal;1102;Leste Rondoniense;88069317.5;91328695.06;8037359.44;1650513.34;3414602.6;452292.02;835513.82;0;638172.4;72830198.76;30482252.32;30251683.68;1547217.88;2594200.69;4727264.7;4417879.49;86105263.51;74828101.16;31518353.65;11277162.35;9136382.02;42289323.95;7337245.95;1964053.99;15253738.86;20114.99;0
Norte;11;RO;110005;Cerejeiras;11008;Colorado do Oeste;1102;Leste Rondoniense;22739906.02;21576426.72;1015190.6;184811.54;412415.53;149357.18;128843.09;228092.5;187339.95;19783236.36;7938248.49;7392871.49;191460.12;313502.31;3453715.93;3450000;20309751.56;16445418.92;6776142.36;3864332.64;3398424.06;9669276.56;2627501.28;2430154.46;5866822.69;21386.63;11.07
Norte;11;RO;110006;Colorado do Oeste;11008;Colorado do Oeste;1102;Leste Rondoniense;17789697.42;18416284.33;1007071.85;118138.33;419570.19;192152.62;76264.43;34061.82;124592.75;16522282.87;9016969.58;4788625.1;124348.02;147024.83;1455103.39;1425000;16876724.25;14921839.96;5619614.08;1954884.29;1604874.48;9144505.15;1052732.87;912973.17;7319908.42;17409.72;0
Norte;11;RO;110007;Corumbiara;11008;Colorado do Oeste;1102;Leste Rondoniense;12206971.94;13541938.55;578418.87;8258.02;293785.04;79093.02;24066.31;0;71630.95;12820706.74;4814175.5;5464865.12;32600.91;33361.97;242269.16;242269.16;10891316.3;10136834.19;4211417.61;754482.11;663759.82;5923675.1;224637.38;1315655.64;3520093.61;82897.03;0
Norte;11;RO;110008;Costa Marques;11002;Guajarﬂ-Mirim;1101;Madeira-Guapor⁄;14838805.87;15899277.76;269953.41;30347.78;95141.91;32263.95;55115.86;0;0;15538984.04;7597017.34;3710348.02;78769.19;90340.31;607049.29;607049.29;17213795.64;13382263.22;6214657.08;3831532.42;3621534.69;7167606.14;3128939.33;0.00237499;5856822.69;8579.13;0
Norte;11;RO;110009;Espig“o D'Oeste;11006;Cacoal;1102;Leste Rondoniense;35369060.22;34254769.09;1737555.94;298291.56;542215.83;269918.35;278304.16;1441441.44;1179443.11;28838670.72;10237282.68;12472723.79;127159.62;283190.62;3427526.78;3414763.86;35711541.15;27697221.77;14929908.9;8014319.38;7918702.72;12749697.38;6466307.28;0.003424809;8213551.68;21288.61;0
Norte;11;RO;110010;Guajarﬂ-Mirim;11002;Guajarﬂ-Mirim;1101;Madeira-Guapor⁄;38634735.92;41896648.96;1754029.49;345719.69;628410.12;95587.22;277910.64;85368.15;173130.55;39091529.62;12027465.95;12286030.34;269510.48;792591.15;808108.45;347415;35448086.23;32150265.52;10573140.94;3297820.71;2581314.86;21556372.52;1262522.72;3186649.69;10957444.46;13374.37;0
