Grandes_regioes;uf;cod_uf;codmun;Nome_do_municipio;codigo_microregiao;nome_microregiao;codigo_mesoregiao;nome_mesoregiao;pessoas_residentes;homicidios1996;homicidios1997;homicidios1998;homicidios1999;homicidios2000;homicidios2001;homicidios2002;homicidios2003;homicidios2004;homicidios2005;homicidios2006;homicidios2007;homicidios2008;homicidios2009;obitosinfantis1996;obitosinfantis1997;obitosinfantis1998;obitosinfantis1999;obitosinfantis2000;obitosinfantis2001;obitosinfantis2002;obitosinfantis2003;obitosinfantis2004;obitosinfantis2005;obitosinfantis2006;obitosinfantis2007;obitosinfantis2008;obitosinfantis2009
Norte;11;RO;110020;Porto Velho;11001;Porto Velho;1101;Madeira-Guapor⁄;334661;147;128;221;174;211;242;228;192;269;221;264;199;180;189;106;294;345;322;299;240;275;294;275;275;272;268;256;298
Norte;11;RO;110033;Nova Mamor⁄;11001;Porto Velho;1101;Madeira-Guapor⁄;14778;4;4;0;3;2;2;8;6;11;11;8;10;12;14;2;4;2;3;4;1;2;1;6;1;1;6;1;3
Norte;11;RO;110045;Buritis;11001;Porto Velho;1101;Madeira-Guapor⁄;25668;0;8;11;8;9;27;28;32;18;32;19;14;21;22;0;1;4;6;7;9;15;10;14;12;2;9;4;1
Norte;11;RO;110070;Campo Novo de Rond∂nia;11001;Porto Velho;1101;Madeira-Guapor⁄;11463;7;2;4;6;15;15;10;7;8;8;5;4;1;8;3;1;0;2;4;3;1;1;0;2;0;0;0;0
Norte;11;RO;110080;Candeias do Jamari;11001;Porto Velho;1101;Madeira-Guapor⁄;13107;5;0;1;4;0;0;3;2;2;7;3;2;1;0;0;2;0;0;1;8;0;3;1;2;1;0;2;0
Norte;11;RO;110094;Cujubim;11001;Porto Velho;1101;Madeira-Guapor⁄;6536;0;1;6;2;6;6;3;2;9;5;0;6;10;10;0;0;0;1;0;0;0;0;1;1;0;0;1;1
Norte;11;RO;110110;Itapu“ do Oeste;11001;Porto Velho;1101;Madeira-Guapor⁄;6822;3;2;1;3;0;1;1;2;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0
Norte;11;RO;110008;Costa Marques;11002;Guajarﬂ-Mirim;1101;Madeira-Guapor⁄;10208;11;7;2;1;4;4;3;7;5;8;4;0;1;0;10;8;0;7;6;6;7;4;5;8;5;6;7;5
Norte;11;RO;110010;Guajarﬂ-Mirim;11002;Guajarﬂ-Mirim;1101;Madeira-Guapor⁄;38045;9;9;6;9;7;8;2;8;4;6;3;6;6;1;11;6;8;12;8;13;7;13;3;13;8;8;13;10
Norte;11;RO;110149;S“o Francisco do Guapor⁄;11002;Guajarﬂ-Mirim;1101;Madeira-Guapor⁄;11085;0;2;3;8;5;7;12;11;6;6;9;2;7;2;0;0;1;4;1;10;5;6;6;8;2;2;2;2
Norte;11;RO;110002;Ariquemes;11003;Ariquemes;1102;Leste Rondoniense;74503;53;59;40;28;44;54;46;56;42;52;62;55;75;93;74;65;61;46;36;40;46;40;31;16;28;32;45;27
Norte;11;RO;110013;Machadinho D'Oeste;11003;Ariquemes;1102;Leste Rondoniense;22739;13;4;4;2;6;12;16;16;16;24;22;7;15;23;5;6;11;3;10;7;8;10;6;4;3;0;5;3
Norte;11;RO;110026;Rio Crespo;11003;Ariquemes;1102;Leste Rondoniense;2937;2;0;0;3;0;3;2;3;2;1;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Norte;11;RO;110040;Alto Para›so;11003;Ariquemes;1102;Leste Rondoniense;13118;3;5;4;3;2;5;5;11;2;6;7;4;10;8;2;0;0;0;0;1;0;0;1;0;0;1;2;0
Norte;11;RO;110060;Cacaul‘ndia;11003;Ariquemes;1102;Leste Rondoniense;5372;2;0;0;1;2;2;3;3;3;2;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Norte;11;RO;110140;Monte Negro;11003;Ariquemes;1102;Leste Rondoniense;12627;5;7;8;6;8;4;10;4;4;5;3;0;2;5;12;6;4;9;5;1;4;1;3;3;1;0;1;2
Norte;11;RO;110175;Vale do Anari;11003;Ariquemes;1102;Leste Rondoniense;7737;0;2;1;4;0;3;3;5;3;4;4;1;4;3;0;2;2;1;0;3;0;0;3;2;1;0;0;1
Norte;11;RO;110011;Jaru;11004;Ji-Paranﬂ;1102;Leste Rondoniense;53600;20;15;16;24;16;22;21;22;6;12;10;5;9;13;46;35;42;35;28;27;21;16;14;9;13;3;6;10
Norte;11;RO;110012;Ji-Paranﬂ;11004;Ji-Paranﬂ;1102;Leste Rondoniense;106800;30;36;34;22;25;36;34;40;42;33;42;36;36;41;92;71;86;70;87;68;42;55;49;47;29;34;24;23
Norte;11;RO;110015;Ouro Preto do Oeste;11004;Ji-Paranﬂ;1102;Leste Rondoniense;40884;12;8;18;14;8;9;14;10;8;10;8;12;5;7;34;22;20;21;23;20;20;18;11;9;4;14;5;7
Norte;11;RO;110025;Presidente M⁄dici;11004;Ji-Paranﬂ;1102;Leste Rondoniense;26365;5;5;1;4;2;5;6;3;6;2;5;2;3;3;9;10;4;4;5;1;1;4;4;2;1;1;3;3
Norte;11;RO;110100;Governador Jorge Teixeira;11004;Ji-Paranﬂ;1102;Leste Rondoniense;13961;2;3;0;2;3;1;3;5;1;4;1;0;0;0;5;2;6;2;3;2;4;0;2;1;1;0;0;0
Norte;11;RO;110130;Mirante da Serra;11004;Ji-Paranﬂ;1102;Leste Rondoniense;13154;0;0;1;2;3;5;2;3;4;5;5;4;4;3;0;4;4;3;1;8;4;3;2;2;5;0;1;0
Norte;11;RO;110143;Nova Uni“o;11004;Ji-Paranﬂ;1102;Leste Rondoniense;8233;0;0;0;0;0;0;1;0;1;0;3;0;1;1;0;1;0;0;0;0;2;0;0;1;0;0;0;0
Norte;11;RO;110155;Teixeiræpolis;11004;Ji-Paranﬂ;1102;Leste Rondoniense;5618;0;0;4;0;0;1;0;3;1;0;0;0;0;2;0;0;1;1;0;2;0;0;0;0;0;0;0;0
Norte;11;RO;110160;Theobroma;11004;Ji-Paranﬂ;1102;Leste Rondoniense;11355;3;3;7;6;9;4;4;3;2;0;1;3;2;1;0;1;0;2;1;0;0;1;1;1;1;0;0;1
Norte;11;RO;110170;Urupﬂ;11004;Ji-Paranﬂ;1102;Leste Rondoniense;14880;0;2;7;1;1;5;7;3;5;3;4;2;3;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0
Norte;11;RO;110180;Vale do Para›so;11004;Ji-Paranﬂ;1102;Leste Rondoniense;9863;4;1;0;0;0;4;3;3;1;2;3;1;1;0;;;;;;;;;;;;;;
Norte;11;RO;110014;Nova Brasil‘ndia D'Oeste;11005;Alvorada D'Oeste;1102;Leste Rondoniense;17067;0;1;0;1;1;4;9;4;4;2;0;1;2;2;6;4;3;3;6;5;1;6;3;3;3;3;1;2
Norte;11;RO;110032;S“o Miguel do Guapor⁄;11005;Alvorada D'Oeste;1102;Leste Rondoniense;23874;8;3;5;3;7;8;8;7;5;2;6;3;1;6;5;8;8;5;8;8;6;7;6;3;3;2;1;0
Norte;11;RO;110034;Alvorada D'Oeste;11005;Alvorada D'Oeste;1102;Leste Rondoniense;19832;3;4;1;6;3;3;6;2;2;0;2;3;3;4;6;14;9;5;4;11;4;1;1;2;2;1;1;3
Norte;11;RO;110150;Seringueiras;11005;Alvorada D'Oeste;1102;Leste Rondoniense;11655;2;6;7;4;4;6;3;4;3;4;0;2;2;1;1;1;2;3;2;3;1;3;2;5;4;0;0;2
Norte;11;RO;110001;Alta Floresta D'Oeste;11006;Cacoal;1102;Leste Rondoniense;26533;7;6;6;8;3;1;10;7;5;7;6;2;11;2;8;11;14;15;8;6;4;6;3;10;3;4;5;1
Norte;11;RO;110004;Cacoal;11006;Cacoal;1102;Leste Rondoniense;73568;23;20;29;21;10;14;26;26;18;18;26;14;21;20;47;49;71;48;49;44;59;28;44;26;34;11;19;12
Norte;11;RO;110009;Espig“o D'Oeste;11006;Cacoal;1102;Leste Rondoniense;25688;2;3;7;3;6;6;8;12;10;5;5;5;1;4;12;8;11;12;6;9;3;9;4;12;0;2;4;1
Norte;11;RO;110028;Rolim de Moura;11006;Cacoal;1102;Leste Rondoniense;47382;9;10;10;8;9;10;17;11;8;4;6;3;1;8;41;39;29;24;30;24;12;17;8;5;4;5;6;8
Norte;11;RO;110029;Santa Luzia D'Oeste;11006;Cacoal;1102;Leste Rondoniense;11603;2;2;1;2;2;1;2;1;2;2;0;0;0;0;6;6;5;2;4;0;1;2;2;0;0;0;1;1
Norte;11;RO;110037;Alto Alegre dos Parecis;11006;Cacoal;1102;Leste Rondoniense;13070;0;1;0;0;0;2;6;4;4;5;3;3;0;0;0;0;2;1;1;2;1;1;0;0;0;2;0;2
Norte;11;RO;110050;Novo Horizonte do Oeste;11006;Cacoal;1102;Leste Rondoniense;12276;2;1;1;2;0;1;0;0;0;2;0;0;0;1;0;1;0;1;3;0;0;0;0;0;0;1;1;0
Norte;11;RO;110090;Castanheiras;11006;Cacoal;1102;Leste Rondoniense;4212;1;0;2;0;0;0;0;1;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Norte;11;RO;110120;Ministro Andreazza;11006;Cacoal;1102;Leste Rondoniense;11610;1;1;1;3;2;4;4;4;1;2;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0
