"Regiao";"cod_microregiao";"nome_microregiao";"cod_mesoregiao";"nome_mesoregiao";"media_gini";"PEA_18oumaisanos";"receitas_orc_realizadas";"media_renda_percapita"
"Norte";11006;"Cacoal";1102;"Leste Rondoniense";0,531111111111111;104405;269544351,17;503,454444444444
"Norte";11003;"Ariquemes";1102;"Leste Rondoniense";0,542857142857143;78834;222299949,16;478,324285714286
"Norte";11008;"Colorado do Oeste";1102;"Leste Rondoniense";0,494;23915;70421493,44;493,116
"Norte";11002;"Guajarﬂ-Mirim";1101;"Madeira-Guapor⁄";0,54;29030;71782702,77;447,786666666667
"Norte";11004;"Ji-Paranﬂ";1102;"Leste Rondoniense";0,522727272727273;137339;346226496,89;486,47
"Norte";11005;"Alvorada D'Oeste";1102;"Leste Rondoniense";0,585;30424;60713151,13;462,645
"Norte";11007;"Vilhena";1102;"Leste Rondoniense";0,503333333333333;65650;177689748,59;523,613333333333
"Norte";11001;"Porto Velho";1101;"Madeira-Guapor⁄";0,53;254243;590103240,82;520,367142857143
"Norte";12004;"Rio Branco";1202;"Vale do Acre";0,567142857142857;177375;461926260,52;403,068571428571
"Norte";12005;"Brasil⁄ia";1202;"Vale do Acre";0,5925;22201;59753592,68;379,3675
"Norte";12001;"Cruzeiro do Sul";1201;"Vale do Juruﬂ";0,616;44411;120136241,62;261,52
"Norte";12002;"Tarauacﬂ";1201;"Vale do Juruﬂ";0,68;21731;38367685,42;229,663333333333
"Norte";12003;"Sena Madureira";1202;"Vale do Acre";0,636666666666667;18251;55468208,41;276,693333333333
"Norte";13005;"Tef⁄";1303;"Centro Amazonense";0,603333333333333;28448;79792178,32;274,396666666667
"Norte";13003;"Alto Solimßes";1302;"Sudoeste Amazonense";0,628888888888889;70373;139314941,53;195,977777777778
"Norte";13006;"Coari";1303;"Centro Amazonense";0,61;51035;290070442,09;245,415
"Norte";13013;"Madeira";1304;"Sul Amazonense";0,606;58282;154297250,03;299,5
"Norte";13007;"Manaus";1303;"Centro Amazonense";0,588571428571429;892873;2128640239,41;338,414285714286
